# SPDX-FileCopyrightText: 2026 Tom Haynes <loghyr@gmail.com>
# SPDX-License-Identifier: AGPL-3.0-or-later
=== Phase 1/4: v1 SIMD + degraded ===
=== EC Benchmark ===
MDS: reffs-mds  GEOMETRIES=4:2 8:2  RUNS=5  DEGRADE=1  LAYOUT=v1
CPU: x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
Sizes: 4096 16384 65536 262144 1048576

Waiting for MDS at reffs-mds:2049...
MDS ready.
--- Size: 4096 bytes ---
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd
stripe,10+0,262144,1,183,142,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced)
rs,4+2,262144,1,229,180,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,262144,1,215,187,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,262144,1,229,336,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,4+2,262144,1,0,177,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,262144,1,0,175,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,262144,1,0,240,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,262144,1,195,156,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,262144,1,201,161,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,262144,1,208,376,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,262144,1,0,193,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,262144,1,0,154,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,262144,1,0,361,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
plain,1+0,262144,2,137,122,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
stripe,10+0,262144,2,190,136,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced)
rs,4+2,262144,2,226,179,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,262144,2,226,188,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,262144,2,229,336,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,4+2,262144,2,0,178,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,262144,2,0,172,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,262144,2,0,293,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,262144,2,193,150,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,262144,2,209,164,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,262144,2,208,369,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,262144,2,0,165,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,262144,2,0,154,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,262144,2,0,364,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
plain,1+0,262144,3,157,115,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
stripe,10+0,262144,3,178,138,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced)
rs,4+2,262144,3,222,170,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,262144,3,221,184,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,262144,3,230,334,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,4+2,262144,3,0,174,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,262144,3,0,173,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,262144,3,0,290,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,262144,3,202,158,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,262144,3,198,162,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,262144,3,208,372,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,262144,3,0,193,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,262144,3,0,162,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,262144,3,0,368,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
plain,1+0,262144,4,151,115,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
stripe,10+0,262144,4,173,137,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced)
rs,4+2,262144,4,223,178,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,262144,4,219,192,OK,healthy,v1,x86_64,Intel(R) N1--- Size: 1048576 bytes ---
00,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,262144,4,222,330,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,4+2,262144,4,0,171,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,262144,4,0,158,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,262144,4,0,264,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,262144,4,196,152,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,262144,4,199,159,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,262144,4,207,359,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,262144,4,0,179,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,262144,4,0,156,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,262144,4,0,368,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
plain,1+0,262144,5,136,113,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
stripe,10+0,262144,5,179,140,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced)
rs,4+2,262144,5,225,176,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,262144,5,215,188,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,262144,5,215,337,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,4+2,262144,5,0,213,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,262144,5,0,170,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,262144,5,0,294,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,262144,5,197,155,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,262144,5,199,162,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,262144,5,213,363,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,262144,5,0,180,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,262144,5,0,161,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,262144,5,0,361,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
plain,1+0,1048576,1,429,356,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
stripe,10+0,1048576,1,437,398,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced)
rs,4+2,1048576,1,663,495,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,1048576,1,650,598,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,1048576,1,680,1142,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,4+2,1048576,1,0,568,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,1048576,1,0,550,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,1048576,1,0,944,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,1048576,1,572,466,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,1048576,1,564,517,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,1048576,1,606,1331,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,1048576,1,0,712,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,1048576,1,0,499,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,1048576,1,0,1314,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
plain,1+0,1048576,2,432,377,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
stripe,10+0,1048576,2,481,417,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced)
rs,4+2,1048576,2,697,563,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,1048576,2,657,612,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,1048576,2,695,1254,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,4+2,1048576,2,0,570,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,1048576,2,0,560,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,1048576,2,0,1032,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,1048576,2,584,489,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,1048576,2,576,516,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,1048576,2,602,1350,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,1048576,2,0,709,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,1048576,2,0,366,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,1048576,2,0,1326,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
plain,1+0,1048576,3,430,384,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
stripe,10+0,1048576,3,462,408,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced)
rs,4+2,1048576,3,685,580,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,1048576,3,641,606,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,1048576,3,691,1187,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,4+2,1048576,3,0,574,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,1048576,3,0,554,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,1048576,3,0,968,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,1048576,3,590,494,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,1048576,3,585,520,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,1048576,3,633,1349,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,1048576,3,0,670,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,1048576,3,0,493,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,1048576,3,0,1327,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
plain,1+0,1048576,4,438,384,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
stripe,10+0,1048576,4,469,416,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced)
rs,4+2,1048576,4,705,584,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,1048576,4,659,610,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,1048576,4,702,1185,OK,healthy,v1,x86_64,Intel(R) N100,7
=== Benchmark complete ===
.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,4+2,1048576,4,0,471,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,1048576,4,0,562,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,1048576,4,0,1007,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,1048576,4,593,493,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,1048576,4,574,521,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,1048576,4,643,1344,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,1048576,4,0,693,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,1048576,4,0,504,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,1048576,4,0,1330,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
plain,1+0,1048576,5,175,353,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
stripe,10+0,1048576,5,448,408,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced)
rs,4+2,1048576,5,670,573,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,1048576,5,642,605,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,1048576,5,642,1194,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,4+2,1048576,5,0,566,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,4+2,1048576,5,0,551,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,4+2,1048576,5,0,1021,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,1048576,5,571,483,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,1048576,5,566,513,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,1048576,5,589,1332,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
rs,8+2,1048576,5,0,714,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-sys,8+2,1048576,5,0,491,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default
mojette-nonsys,8+2,1048576,5,0,1256,OK,degraded-1,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,scalar(forced),default

=== Phase 3/4: v2 SIMD + degraded ===
=== EC Benchmark ===
MDS: reffs-mds  GEOMETRIES=4:2 8:2  RUNS=5  DEGRADE=1  LAYOUT=v2
CPU: x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
Sizes: 4096 16384 65536 262144 1048576

Waiting for MDS at reffs-mds:2049...
MDS ready.
--- Size: 4096 bytes ---
plain,1+0,4096,1,62,31,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
stripe,10+0,4096,1,83,51,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
rs,4+2,4096,1,145,98,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,1,149,95,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,1,148,114,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,4+2,4096,1,0,102,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,1,0,99,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,1,0,110,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,1,162,95,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,1,162,104,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,1,165,131,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,1,0,107,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,1,0,103,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,1,0,135,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
plain,1+0,4096,2,65,31,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
stripe,10+0,4096,2,89,54,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
rs,4+2,4096,2,148,95,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,2,163,100,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,2,147,113,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,4+2,4096,2,0,96,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,2,0,95,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,2,0,115,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,2,168,101,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,2,159,102,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,2,162,135,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,2,0,109,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,2,0,106,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,2,0,134,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
plain,1+0,4096,3,65,32,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
stripe,10+0,4096,3,87,53,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
rs,4+2,4096,3,151,100,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,3,151,98,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,3,151,111,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,4+2,4096,3,0,102,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,4+2,4096,3,0,101,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,4+2,4096,3,0,114,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,3,176,100,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,3,166,105,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,3,166,139,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
rs,8+2,4096,3,0,110,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-sys,8+2,4096,3,0,106,--- Size: 16384 bytes ---
OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
mojette-nonsys,8+2,4096,3,0,136,OK,degraded-1,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
plain,1+0,4096,4,67,32,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,default
stripe,10+0,4096,4,92,57,OK,healthy,v2,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2
